,algo,family_lable,ari,fmi,homogeneity,completeness,v_measure,tp,fp,fn,tn,family_size,re_size
162,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Enterobacter,0.8786544398038859,0.9779019890632276,0.8386529623245021,0.7413703755943142,0.7870168076007836,0.09090909090909091,0.0,0.01818181818181818,0.8909090909090909,55,5
23,<class 'sklearn.cluster._dbscan.DBSCAN'>,Frankia,0.463618802318094,0.9591678096644419,0.6120359227353217,0.2640240425582367,0.36890670710490103,0.0196078431372549,0.0,0.0392156862745098,0.9411764705882353,51,1
22,<class 'sklearn.cluster._dbscan.DBSCAN'>,Flavobacterium,0.6198307300626161,0.9583555915861839,0.672936898444718,0.4045313958088335,0.505303226593225,0.038461538461538464,0.0,0.038461538461538464,0.9230769230769231,52,2
39,<class 'sklearn.cluster._dbscan.DBSCAN'>,Sphaerotilus,0.6980018048214516,0.9575823054437779,0.7081092142671571,0.49294165155975356,0.5812518611777698,0.05660377358490566,0.0,0.03773584905660377,0.9056603773584906,53,3
174,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Moraxella,0.7447833065810594,0.9568496885950687,0.7321596405397185,0.5542157893504782,0.6308802604336415,0.07407407407407407,0.0,0.037037037037037035,0.8888888888888888,54,4
18,<class 'sklearn.cluster._dbscan.DBSCAN'>,Enterobacter,0.7758362882898279,0.9561592502843783,0.7500512813611632,0.599452157462862,0.6663485929484374,0.09090909090909091,0.0,0.03636363636363636,0.8727272727272727,55,5
185,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Streptomyces,0.5436997918410137,0.9386503207015755,0.6167940320942551,0.3414107948907943,0.43953053637556627,0.044585987261146494,0.0,0.05732484076433121,0.8980891719745223,157,7
183,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Sphaerotilus,0.5952582358193524,0.9369687007474506,0.6392515284712909,0.3937178184645023,0.48730336091078497,0.05660377358490566,0.0,0.05660377358490566,0.8867924528301887,53,3
41,<class 'sklearn.cluster._dbscan.DBSCAN'>,Streptomyces,0.513545721776436,0.9320662360091536,0.597489531419879,0.31756656014498963,0.4147127087939871,0.044585987261146494,0.0,0.06369426751592357,0.89171974522293,157,7
190,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Thermus,0.43626603012634224,0.9297267996688643,0.5630044070805916,0.2534424952159976,0.34953710118009346,0.033816425120772944,0.0,0.06763285024154589,0.8985507246376812,207,7
181,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Salmonella,0.46543826217943707,0.9289945419419103,0.5747254356694508,0.2775476627133153,0.3743253228915326,0.038461538461538464,0.0,0.0673076923076923,0.8942307692307693,104,4
43,<class 'sklearn.cluster._dbscan.DBSCAN'>,Thermococcus,-0.028976175144880875,0.9209370289426528,0.012443374527241603,0.005367903947640151,0.007500285770158736,0.0,0.0196078431372549,0.058823529411764705,0.9215686274509803,51,1
16,<class 'sklearn.cluster._dbscan.DBSCAN'>,Desulfovibrio,0.2828243031075036,0.9209363243736874,0.49166314964863217,0.14793273715302432,0.22743446912551596,0.0196078431372549,0.0,0.0784313725490196,0.9019607843137255,102,2
44,<class 'sklearn.cluster._dbscan.DBSCAN'>,Thermoplasma,0.2823353293413174,0.9200777744431793,0.49166314964863234,0.1479327371530255,0.22743446912551735,0.0196078431372549,0.0,0.0784313725490196,0.9019607843137255,51,1
182,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Shewanella,0.2823353293413174,0.9200777744431793,0.49166314964863234,0.1479327371530255,0.22743446912551735,0.0196078431372549,0.0,0.0784313725490196,0.9019607843137255,51,1
159,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Deinococcus,0.2823353293413174,0.9200777744431793,0.49166314964863234,0.1479327371530255,0.22743446912551735,0.0196078431372549,0.0,0.0784313725490196,0.9019607843137255,51,1
158,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Corynebacterium,0.2823353293413174,0.9200777744431793,0.49166314964863234,0.1479327371530255,0.22743446912551735,0.0196078431372549,0.0,0.0784313725490196,0.9019607843137255,51,1
153,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Brevibacterium,0.2823353293413174,0.9200777744431793,0.49166314964863234,0.1479327371530255,0.22743446912551735,0.0196078431372549,0.0,0.0784313725490196,0.9019607843137255,51,1
188,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Thermoplasma,0.2823353293413174,0.9200777744431793,0.49166314964863234,0.1479327371530255,0.22743446912551735,0.0196078431372549,0.0,0.0784313725490196,0.9019607843137255,51,1
10,<class 'sklearn.cluster._dbscan.DBSCAN'>,Chlorella,0.4187652315190902,0.9187652315190902,0.21663901241626124,0.21663901241626124,0.21663901241626124,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.8888888888888888,54,4
170,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Klebsiella,0.25485248665258314,0.9115695326101602,0.47017695946449123,0.1326861937192259,0.20696567967825538,0.0196078431372549,0.0,0.08823529411764706,0.8921568627450981,102,2
189,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Thermotoga,0.25485248665258314,0.9115695326101602,0.47017695946449123,0.1326861937192259,0.20696567967825538,0.0196078431372549,0.0,0.08823529411764706,0.8921568627450981,102,2
160,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Desulfovibrio,0.25485248665258314,0.9115695326101602,0.47017695946449123,0.1326861937192259,0.20696567967825538,0.0196078431372549,0.0,0.08823529411764706,0.8921568627450981,102,2
20,<class 'sklearn.cluster._dbscan.DBSCAN'>,Eubacterium,-0.030212541717899173,0.9021274818888028,0.016766492616712907,0.005885742781720218,0.008712893995478197,0.0,0.0196078431372549,0.0784313725490196,0.9019607843137255,51,1
177,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Nocardia,0.22267379250297864,0.9015545564162515,0.20881124961107098,0.08093465192634508,0.11665439073273529,0.019417475728155338,0.009708737864077669,0.08737864077669903,0.883495145631068,103,3
179,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Pyrococcus,0.22267379250297864,0.9015545564162515,0.20881124961107098,0.08093465192634508,0.11665439073273529,0.019417475728155338,0.009708737864077669,0.08737864077669903,0.883495145631068,103,3
17,<class 'sklearn.cluster._dbscan.DBSCAN'>,Diplococcus,0.23031496062992127,0.9012575683950169,0.4507535814407424,0.12010075033949029,0.18966605081342153,0.0196078431372549,0.0,0.09803921568627451,0.8823529411764706,51,1
38,<class 'sklearn.cluster._dbscan.DBSCAN'>,Shewanella,0.23031496062992127,0.9012575683950169,0.4507535814407424,0.12010075033949029,0.18966605081342153,0.0196078431372549,0.0,0.09803921568627451,0.8823529411764706,51,1
161,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Diplococcus,0.23031496062992127,0.9012575683950169,0.4507535814407424,0.12010075033949029,0.18966605081342153,0.0196078431372549,0.0,0.09803921568627451,0.8823529411764706,51,1
167,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Frankia,0.23031496062992127,0.9012575683950169,0.4507535814407424,0.12010075033949029,0.18966605081342153,0.0196078431372549,0.0,0.09803921568627451,0.8823529411764706,51,1
156,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Citrobacter,0.4382149990920646,0.8970972715858277,0.25306732386104097,0.2237118633928022,0.23748588066886883,0.05454545454545454,0.03636363636363636,0.05454545454545454,0.8545454545454545,55,5
191,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Xanthomonas,0.20558762631314134,0.8970870823718041,0.12821348330016935,0.06388273219273119,0.08527630381624712,0.019230769230769232,0.019230769230769232,0.08173076923076923,0.8798076923076923,208,8
155,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Chlorobium,0.10884986754986345,0.8934793337539082,0.10032311958540002,0.028311665665171255,0.0441609105135304,0.00980392156862745,0.00980392156862745,0.09803921568627451,0.8823529411764706,102,2
26,<class 'sklearn.cluster._dbscan.DBSCAN'>,Klebsiella,0.21004037470199277,0.8932206327229614,0.433030470614115,0.10954123194031691,0.17485132746673832,0.0196078431372549,0.0,0.10784313725490197,0.8725490196078431,102,2
163,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Escherichia,0.22965519058030187,0.8919072513434483,0.11665142926393078,0.07370717345035277,0.09033526205162619,0.023696682464454975,0.02843601895734597,0.07582938388625593,0.8720379146919431,211,11
169,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Helicobacter,0.03122345973455338,0.88533097251156,0.0069405316935464995,0.0026369457977027657,0.003821842630242101,0.004866180048661801,0.021897810218978103,0.0948905109489051,0.878345498783455,411,11
152,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Bifidobacterium,0.08726858216478783,0.8838812942987014,0.04260093205262327,0.016512001215638228,0.02379941589594289,0.009708737864077669,0.019417475728155338,0.0970873786407767,0.8737864077669902,103,3
164,<class 'sklearn.covariance._elliptic_envelope.EllipticEnvelope'>,Eubacterium,-0.030688622754491017,0.8838403212710657,0.021183606185823278,0.006373772059346194,0.009799152591525005,0.0,0.0196078431372549,0.09803921568627451,0.8823529411764706,51,1
